dataset,noise,model,k,k_accuracies
mmlu,punctuation_10,Qwen3-4B,15,"[0.84608121 0.84419263 0.84891407 0.84891407 0.8470255  0.8470255
 0.85174693 0.84985836 0.84324835 0.84608121 0.84513692]"
mmlu,punctuation_10,Qwen3-4B,20,[0.84324835 0.84419263 0.84796978 0.84513692 0.84230406 0.8470255 ]
mmlu,punctuation_10,Qwen3-4B,25,[0.84041549]
multiarith,punctuation_10,Qwen3-4B,1,"[0.93888889 0.93333333 0.92222222 0.95       0.96111111 0.96666667
 0.92222222 0.96666667 0.94444444 0.93333333 0.95555556 0.94444444
 0.93888889 0.93888889 0.9        0.91111111 0.94444444 0.92222222
 0.96111111 0.94444444 0.94444444 0.90555556 0.94444444 0.92777778
 0.97777778]"
multiarith,punctuation_10,Qwen3-4B,5,"[0.99444444 0.99444444 0.99444444 1.         1.         1.
 1.         0.99444444 1.         1.         0.99444444 1.
 0.99444444 0.98888889 0.99444444 0.98888889 0.99444444 1.
 1.         1.         1.        ]"
multiarith,punctuation_10,Qwen3-4B,10,"[1.         0.99444444 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
multiarith,punctuation_10,Qwen3-4B,15,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
multiarith,punctuation_10,Qwen3-4B,20,[1. 1. 1. 1. 1. 1.]
multiarith,punctuation_10,Qwen3-4B,25,[1.]
gsm,punctuation_30,gemma-3-12b-it,1,"[0.90144049 0.90598939 0.89234268 0.90144049 0.89840788 0.89537528
 0.89158453 0.89916603 0.89764973 0.89992418 0.90902199 0.89764973
 0.89613343 0.89992418 0.89840788 0.89461713 0.90750569 0.89992418
 0.89461713 0.90978014 0.90144049 0.90978014 0.90902199 0.89689158
 0.90219864]"
gsm,punctuation_30,gemma-3-12b-it,5,"[0.92342684 0.91887794 0.91508719 0.91887794 0.91736164 0.91736164
 0.91660349 0.92342684 0.92115239 0.91811979 0.92039424 0.91736164
 0.92191054 0.92115239 0.92039424 0.92418499 0.92721759 0.92570129
 0.92797574 0.92342684 0.92570129]"
gsm,punctuation_30,gemma-3-12b-it,10,"[0.92645944 0.92342684 0.91887794 0.92342684 0.92115239 0.92191054
 0.92191054 0.92342684 0.92721759 0.92570129 0.92721759 0.92570129
 0.92418499 0.92570129 0.92721759 0.92570129]"
gsm,punctuation_30,gemma-3-12b-it,15,"[0.92342684 0.92266869 0.92039424 0.92191054 0.92418499 0.92645944
 0.92570129 0.92721759 0.92797574 0.92873389 0.93025019]"
gsm,punctuation_30,gemma-3-12b-it,20,[0.92721759 0.92721759 0.92570129 0.92721759 0.92494314 0.92797574]
gsm,punctuation_30,gemma-3-12b-it,25,[0.92797574]
math,punctuation_30,gemma-3-12b-it,1,"[0.6  0.61 0.59 0.6  0.65 0.65 0.62 0.67 0.64 0.59 0.62 0.64 0.57 0.58
 0.56 0.6  0.59 0.58 0.63 0.63 0.63 0.63 0.63 0.63 0.57]"
math,punctuation_30,gemma-3-12b-it,5,"[0.65 0.66 0.65 0.68 0.69 0.67 0.67 0.67 0.67 0.63 0.64 0.6  0.61 0.62
 0.61 0.62 0.65 0.68 0.66 0.67 0.65]"
math,punctuation_30,gemma-3-12b-it,10,"[0.68 0.67 0.66 0.69 0.69 0.66 0.67 0.68 0.67 0.64 0.66 0.64 0.65 0.68
 0.66 0.69]"
math,punctuation_30,gemma-3-12b-it,15,[0.68 0.66 0.67 0.68 0.68 0.68 0.67 0.69 0.69 0.66 0.68]
math,punctuation_30,gemma-3-12b-it,20,[0.68 0.69 0.67 0.68 0.68 0.67]
math,punctuation_30,gemma-3-12b-it,25,[0.68]
mmlu,punctuation_30,gemma-3-12b-it,1,"[0.83758263 0.84513692 0.84419263 0.85741265 0.84513692 0.84608121
 0.84891407 0.84796978 0.84419263 0.82436261 0.8470255  0.85457979
 0.84230406 0.8470255  0.83569405 0.85930123 0.83758263 0.84513692
 0.84985836 0.83569405 0.83474976 0.84608121 0.83002833 0.84041549
 0.83474976]"
mmlu,punctuation_30,gemma-3-12b-it,5,"[0.87157696 0.87252125 0.87157696 0.87063267 0.86779981 0.86496695
 0.86307838 0.86496695 0.86685552 0.86307838 0.87440982 0.87535411
 0.87157696 0.86968839 0.87440982 0.87063267 0.86685552 0.87346553
 0.8687441  0.8687441  0.8687441 ]"
mmlu,punctuation_30,gemma-3-12b-it,10,"[0.86968839 0.87535411 0.86968839 0.87440982 0.87252125 0.87252125
 0.87629839 0.87063267 0.87252125 0.8687441  0.87629839 0.87346553
 0.87818697 0.87440982 0.87913126 0.87157696]"
mmlu,punctuation_30,gemma-3-12b-it,15,"[0.87535411 0.88007554 0.88101983 0.87818697 0.88196412 0.87818697
 0.87535411 0.87535411 0.87440982 0.87629839 0.87913126]"
mmlu,punctuation_30,gemma-3-12b-it,20,[0.87818697 0.87913126 0.88007554 0.87629839 0.87629839 0.88007554]
mmlu,punctuation_30,gemma-3-12b-it,25,[0.87913126]
multiarith,punctuation_30,gemma-3-12b-it,1,"[0.97777778 0.97222222 0.96666667 0.96666667 0.98333333 0.96111111
 0.97222222 0.96666667 0.96666667 0.96666667 0.96666667 0.97222222
 0.97222222 0.96666667 0.97222222 0.95555556 0.95       0.96111111
 0.96111111 0.95       0.97777778 0.96666667 0.95555556 0.98333333
 0.96666667]"
multiarith,punctuation_30,gemma-3-12b-it,5,"[0.98333333 0.97222222 0.97777778 0.97777778 0.97777778 0.97777778
 0.97777778 0.98333333 0.98333333 0.98333333 0.97777778 0.98333333
 0.97222222 0.97777778 0.97777778 0.96666667 0.97222222 0.97222222
 0.97777778 0.97777778 0.97777778]"
multiarith,punctuation_30,gemma-3-12b-it,10,"[0.98333333 0.98333333 0.97777778 0.97777778 0.98333333 0.98333333
 0.98333333 0.97777778 0.98333333 0.97777778 0.97777778 0.97777778
 0.97777778 0.97777778 0.97222222 0.97777778]"
multiarith,punctuation_30,gemma-3-12b-it,15,"[0.98333333 0.98333333 0.98333333 0.98333333 0.98333333 0.98333333
 0.98333333 0.97777778 0.98333333 0.98333333 0.98333333]"
multiarith,punctuation_30,gemma-3-12b-it,20,[0.98333333 0.98333333 0.98333333 0.97777778 0.98333333 0.97777778]
multiarith,punctuation_30,gemma-3-12b-it,25,[0.98333333]
gsm,punctuation_30,gemma-3-4b-it,1,"[0.81956027 0.81273692 0.81652767 0.81197877 0.81122062 0.82335102
 0.81122062 0.80818802 0.82865807 0.81501137 0.81728582 0.82562547
 0.81501137 0.81197877 0.80970432 0.81122062 0.80212282 0.82941622
 0.82789992 0.83851403 0.81956027 0.81349507 0.82410917 0.80742987
 0.80439727]"
gsm,punctuation_30,gemma-3-4b-it,5,"[0.87187263 0.86808188 0.86277483 0.86580743 0.87263078 0.87414708
 0.87263078 0.87035633 0.87717968 0.87566338 0.87111448 0.87263078
 0.87187263 0.87414708 0.87490523 0.87566338 0.87793783 0.88703563
 0.88248673 0.87187263 0.87490523]"
gsm,punctuation_30,gemma-3-4b-it,10,"[0.88248673 0.87945413 0.88097043 0.87642153 0.88172858 0.88172858
 0.88400303 0.88476118 0.88703563 0.88248673 0.88400303 0.88551933
 0.88172858 0.88703563 0.88097043 0.87869598]"
gsm,punctuation_30,gemma-3-4b-it,15,"[0.88476118 0.88400303 0.88551933 0.88703563 0.88703563 0.88779378
 0.88627748 0.88931008 0.89006823 0.89006823 0.88324488]"
gsm,punctuation_30,gemma-3-4b-it,20,[0.88931008 0.88703563 0.88855193 0.88703563 0.88703563 0.88855193]
gsm,punctuation_30,gemma-3-4b-it,25,[0.88779378]
math,punctuation_30,gemma-3-4b-it,1,"[0.49 0.44 0.48 0.43 0.46 0.48 0.46 0.54 0.45 0.51 0.46 0.44 0.44 0.46
 0.48 0.44 0.51 0.45 0.48 0.47 0.45 0.53 0.48 0.53 0.47]"
math,punctuation_30,gemma-3-4b-it,5,"[0.55 0.52 0.55 0.56 0.59 0.58 0.59 0.6  0.53 0.56 0.53 0.52 0.55 0.56
 0.57 0.58 0.59 0.57 0.6  0.61 0.62]"
math,punctuation_30,gemma-3-4b-it,10,"[0.6  0.58 0.59 0.58 0.61 0.58 0.6  0.59 0.57 0.6  0.58 0.58 0.6  0.59
 0.62 0.63]"
math,punctuation_30,gemma-3-4b-it,15,[0.59 0.59 0.6  0.59 0.62 0.61 0.62 0.61 0.6  0.61 0.61]
math,punctuation_30,gemma-3-4b-it,20,[0.6  0.62 0.63 0.62 0.64 0.62]
math,punctuation_30,gemma-3-4b-it,25,[0.63]
mmlu,punctuation_30,gemma-3-4b-it,1,"[0.70160529 0.71765817 0.69971671 0.72521246 0.71954674 0.71954674
 0.71293673 0.68555241 0.69593957 0.72426818 0.7082153  0.69405099
 0.71388102 0.71671388 0.71388102 0.71010387 0.70160529 0.7082153
 0.69027384 0.71010387 0.73087819 0.71860246 0.70160529 0.69782814
 0.71388102]"
mmlu,punctuation_30,gemma-3-4b-it,5,"[0.75259679 0.7516525  0.75448536 0.75542965 0.74315392 0.73843248
 0.73937677 0.73654391 0.74693107 0.75448536 0.74315392 0.75354108
 0.75070822 0.75826251 0.74976393 0.74787535 0.75259679 0.7516525
 0.73654391 0.7374882  0.74693107]"
mmlu,punctuation_30,gemma-3-4b-it,10,"[0.75731822 0.75731822 0.75826251 0.75259679 0.76015109 0.76015109
 0.75259679 0.75259679 0.75826251 0.76392823 0.75637394 0.76015109
 0.75637394 0.76487252 0.75070822 0.74787535]"
mmlu,punctuation_30,gemma-3-4b-it,15,"[0.7592068  0.75637394 0.76487252 0.76298395 0.76109537 0.76392823
 0.75637394 0.75637394 0.76015109 0.76203966 0.75826251]"
mmlu,punctuation_30,gemma-3-4b-it,20,[0.76392823 0.76203966 0.76487252 0.76581681 0.76203966 0.7592068 ]
mmlu,punctuation_30,gemma-3-4b-it,25,[0.76487252]
multiarith,punctuation_30,gemma-3-4b-it,1,"[0.93888889 0.93333333 0.92777778 0.93888889 0.9        0.93333333
 0.91666667 0.93888889 0.95555556 0.93888889 0.93333333 0.93888889
 0.94444444 0.92777778 0.93888889 0.93888889 0.93888889 0.95555556
 0.92222222 0.94444444 0.92777778 0.92222222 0.94444444 0.93888889
 0.91666667]"
multiarith,punctuation_30,gemma-3-4b-it,5,"[0.95       0.96111111 0.95       0.95555556 0.96666667 0.97222222
 0.97222222 0.96111111 0.97222222 0.96111111 0.95555556 0.95555556
 0.95555556 0.96111111 0.96111111 0.96111111 0.94444444 0.96666667
 0.95555556 0.96111111 0.95555556]"
multiarith,punctuation_30,gemma-3-4b-it,10,"[0.97222222 0.97222222 0.95555556 0.96666667 0.97222222 0.97777778
 0.97222222 0.96666667 0.96666667 0.97222222 0.96666667 0.96666667
 0.95555556 0.95555556 0.95555556 0.95555556]"
multiarith,punctuation_30,gemma-3-4b-it,15,"[0.97777778 0.97222222 0.97222222 0.96111111 0.97222222 0.97222222
 0.97222222 0.96666667 0.96111111 0.95       0.95555556]"
multiarith,punctuation_30,gemma-3-4b-it,20,[0.97222222 0.96666667 0.96111111 0.96111111 0.96666667 0.96666667]
multiarith,punctuation_30,gemma-3-4b-it,25,[0.97222222]
gsm,punctuation_30,Llama-3.1-8B-Instruct,1,"[0.63153904 0.60803639 0.62395754 0.63912055 0.61410159 0.60879454
 0.61865049 0.62699014 0.62623199 0.6444276  0.62395754 0.62774829
 0.61940864 0.62699014 0.63457165 0.61485974 0.63002274 0.62471569
 0.6338135  0.60879454 0.60803639 0.62092494 0.6383624  0.61561789
 0.62699014]"
gsm,punctuation_30,Llama-3.1-8B-Instruct,5,"[0.76118271 0.74374526 0.74981046 0.74981046 0.74147081 0.75511751
 0.77407127 0.78695982 0.75739196 0.76648976 0.77028052 0.76194086
 0.75132676 0.76118271 0.77710387 0.77331312 0.75890826 0.76269901
 0.77179682 0.78847612 0.75511751]"
gsm,punctuation_30,Llama-3.1-8B-Instruct,10,"[0.83851403 0.83699773 0.83548143 0.83396513 0.84154663 0.85519333
 0.85291888 0.86050038 0.85822593 0.84685368 0.84457923 0.84306293
 0.84761183 0.85216073 0.85064443 0.83851403]"
gsm,punctuation_30,Llama-3.1-8B-Instruct,15,"[0.86050038 0.85595148 0.86429113 0.86353298 0.86656558 0.86808188
 0.87035633 0.87338893 0.87566338 0.86504928 0.86504928]"
gsm,punctuation_30,Llama-3.1-8B-Instruct,20,[0.87263078 0.87035633 0.87490523 0.87566338 0.87490523 0.87263078]
gsm,punctuation_30,Llama-3.1-8B-Instruct,25,[0.87717968]
math,punctuation_30,Llama-3.1-8B-Instruct,1,"[0.21 0.24 0.19 0.2  0.26 0.17 0.22 0.19 0.28 0.19 0.18 0.24 0.21 0.21
 0.19 0.24 0.18 0.17 0.19 0.25 0.2  0.19 0.23 0.22 0.22]"
math,punctuation_30,Llama-3.1-8B-Instruct,5,"[0.34 0.34 0.32 0.28 0.33 0.3  0.32 0.29 0.36 0.27 0.29 0.3  0.3  0.3
 0.27 0.32 0.31 0.29 0.34 0.35 0.32]"
math,punctuation_30,Llama-3.1-8B-Instruct,10,"[0.37 0.36 0.36 0.36 0.4  0.36 0.37 0.39 0.41 0.34 0.36 0.34 0.37 0.39
 0.35 0.34]"
math,punctuation_30,Llama-3.1-8B-Instruct,15,[0.42 0.38 0.39 0.38 0.4  0.38 0.38 0.4  0.42 0.38 0.39]
math,punctuation_30,Llama-3.1-8B-Instruct,20,[0.42 0.41 0.41 0.39 0.42 0.41]
math,punctuation_30,Llama-3.1-8B-Instruct,25,[0.44]
mmlu,punctuation_30,Llama-3.1-8B-Instruct,1,"[0.47025496 0.48441926 0.47686497 0.45892351 0.49291785 0.43909348
 0.46458924 0.46270066 0.46836638 0.4674221  0.4674221  0.49197356
 0.44759207 0.47308782 0.47214353 0.48064212 0.46175637 0.46931067
 0.47119924 0.47686497 0.48064212 0.49008499 0.44003777 0.46836638
 0.44853636]"
mmlu,punctuation_30,Llama-3.1-8B-Instruct,5,"[0.57412653 0.57507082 0.56090652 0.5694051  0.5769594  0.5694051
 0.56846081 0.57129367 0.57790368 0.57129367 0.5769594  0.57601511
 0.56468366 0.58640227 0.58073654 0.57601511 0.57979226 0.58829084
 0.55524079 0.57884797 0.57318225]"
mmlu,punctuation_30,Llama-3.1-8B-Instruct,10,"[0.61850803 0.61945231 0.62606232 0.6128423  0.61756374 0.60528801
 0.62511804 0.61378659 0.62511804 0.61756374 0.6279509  0.62889518
 0.60906516 0.62134089 0.63550519 0.61850803]"
mmlu,punctuation_30,Llama-3.1-8B-Instruct,15,"[0.62417375 0.62700661 0.63078376 0.63456091 0.62700661 0.61945231
 0.62606232 0.61850803 0.62889518 0.6279509  0.62228517]"
mmlu,punctuation_30,Llama-3.1-8B-Instruct,20,[0.64022663 0.63078376 0.63550519 0.62983947 0.63833805 0.63267233]
mmlu,punctuation_30,Llama-3.1-8B-Instruct,25,[0.63456091]
multiarith,punctuation_30,Llama-3.1-8B-Instruct,1,"[0.73333333 0.79444444 0.76111111 0.78333333 0.74444444 0.73888889
 0.75555556 0.73333333 0.79444444 0.77777778 0.75555556 0.76111111
 0.73333333 0.78888889 0.78888889 0.76666667 0.70555556 0.75555556
 0.75       0.78333333 0.71111111 0.77777778 0.77222222 0.73888889
 0.74444444]"
multiarith,punctuation_30,Llama-3.1-8B-Instruct,5,"[0.88888889 0.91666667 0.91111111 0.93333333 0.92777778 0.91111111
 0.9        0.89444444 0.92222222 0.93888889 0.92222222 0.93888889
 0.92222222 0.91111111 0.91666667 0.90555556 0.90555556 0.92222222
 0.93333333 0.92777778 0.91111111]"
multiarith,punctuation_30,Llama-3.1-8B-Instruct,10,"[0.94444444 0.95       0.95       0.94444444 0.94444444 0.93888889
 0.94444444 0.94444444 0.95       0.96111111 0.94444444 0.93888889
 0.96111111 0.95       0.96111111 0.95      ]"
multiarith,punctuation_30,Llama-3.1-8B-Instruct,15,"[0.95555556 0.95       0.95555556 0.95       0.95       0.95555556
 0.95       0.95       0.96111111 0.96111111 0.95555556]"
multiarith,punctuation_30,Llama-3.1-8B-Instruct,20,[0.95       0.95       0.95555556 0.96111111 0.95555556 0.95555556]
multiarith,punctuation_30,Llama-3.1-8B-Instruct,25,[0.96111111]
gsm,punctuation_30,Mistral-7B-Instruct-v0.3,1,"[0.37073541 0.36921911 0.3570887  0.35936315 0.3661865  0.37604246
 0.3616376  0.37149356 0.3525398  0.35784685 0.37528431 0.36770281
 0.3525398  0.35633055 0.38589841 0.3661865  0.36087945 0.37528431
 0.35936315 0.37300986 0.39196361 0.38968916 0.37755876 0.358605
 0.37604246]"
gsm,punctuation_30,Mistral-7B-Instruct-v0.3,5,"[0.50037908 0.50568613 0.51099318 0.50189538 0.45413192 0.47232752
 0.47536012 0.46550417 0.45261562 0.45261562 0.47232752 0.46171342
 0.46474602 0.47232752 0.48294162 0.49431387 0.47536012 0.48066717
 0.53222138 0.51402578 0.52843063]"
gsm,punctuation_30,Mistral-7B-Instruct-v0.3,10,"[0.58605004 0.58984079 0.56937074 0.55724033 0.56709629 0.58225929
 0.57240334 0.56709629 0.58074299 0.57088704 0.58832449 0.58529189
 0.60045489 0.59590599 0.59969674 0.59818044]"
gsm,punctuation_30,Mistral-7B-Instruct-v0.3,15,"[0.61940864 0.61485974 0.61485974 0.61637604 0.61334344 0.61410159
 0.61789234 0.62016679 0.63457165 0.63002274 0.6338135 ]"
gsm,punctuation_30,Mistral-7B-Instruct-v0.3,20,[0.6368461  0.64366945 0.64215315 0.6444276  0.6398787  0.641395  ]
gsm,punctuation_30,Mistral-7B-Instruct-v0.3,25,[0.65579985]
math,punctuation_30,Mistral-7B-Instruct-v0.3,1,"[0.07 0.04 0.07 0.05 0.06 0.04 0.1  0.03 0.03 0.09 0.08 0.07 0.06 0.07
 0.06 0.06 0.03 0.03 0.06 0.05 0.07 0.06 0.08 0.06 0.03]"
math,punctuation_30,Mistral-7B-Instruct-v0.3,5,"[0.07 0.06 0.07 0.09 0.09 0.1  0.12 0.07 0.08 0.12 0.08 0.1  0.09 0.09
 0.08 0.09 0.04 0.06 0.09 0.09 0.08]"
math,punctuation_30,Mistral-7B-Instruct-v0.3,10,"[0.11 0.12 0.12 0.15 0.14 0.14 0.15 0.11 0.11 0.12 0.14 0.11 0.11 0.13
 0.13 0.11]"
math,punctuation_30,Mistral-7B-Instruct-v0.3,15,[0.15 0.14 0.15 0.17 0.14 0.15 0.16 0.12 0.12 0.13 0.14]
math,punctuation_30,Mistral-7B-Instruct-v0.3,20,[0.15 0.15 0.16 0.15 0.15 0.15]
math,punctuation_30,Mistral-7B-Instruct-v0.3,25,[0.14]
mmlu,punctuation_30,Mistral-7B-Instruct-v0.3,1,"[0.34844193 0.37299339 0.34844193 0.36166195 0.32955619 0.3578848
 0.37393768 0.36260623 0.34183192 0.37299339 0.35694051 0.37016053
 0.36260623 0.33711048 0.35882908 0.35316336 0.35316336 0.35882908
 0.35127479 0.36449481 0.36166195 0.35316336 0.36827195 0.34560907
 0.37865911]"
mmlu,punctuation_30,Mistral-7B-Instruct-v0.3,5,"[0.40037771 0.40321058 0.39471199 0.39848914 0.38904627 0.42209632
 0.42209632 0.41170916 0.42209632 0.42020774 0.40793201 0.40037771
 0.41076487 0.38526912 0.40698772 0.40415486 0.40415486 0.39376771
 0.40226629 0.39754485 0.41359773]"
mmlu,punctuation_30,Mistral-7B-Instruct-v0.3,10,"[0.42870633 0.42965061 0.42681775 0.42587347 0.40509915 0.42398489
 0.42587347 0.41737488 0.42115203 0.42492918 0.41737488 0.42209632
 0.40982059 0.40982059 0.43153919 0.41548631]"
mmlu,punctuation_30,Mistral-7B-Instruct-v0.3,15,"[0.43342776 0.43626062 0.43153919 0.42776204 0.42870633 0.43531634
 0.43531634 0.41737488 0.43437205 0.42776204 0.42681775]"
mmlu,punctuation_30,Mistral-7B-Instruct-v0.3,20,[0.4381492  0.43720491 0.43153919 0.42870633 0.42492918 0.43153919]
mmlu,punctuation_30,Mistral-7B-Instruct-v0.3,25,[0.43720491]
multiarith,punctuation_30,Mistral-7B-Instruct-v0.3,1,"[0.62777778 0.71111111 0.63888889 0.61111111 0.67222222 0.65
 0.66111111 0.60555556 0.61666667 0.61666667 0.68888889 0.65555556
 0.64444444 0.68888889 0.65555556 0.67222222 0.66666667 0.65
 0.62777778 0.70555556 0.69444444 0.71111111 0.65555556 0.63888889
 0.66111111]"
multiarith,punctuation_30,Mistral-7B-Instruct-v0.3,5,"[0.83333333 0.85555556 0.82777778 0.83888889 0.83888889 0.83888889
 0.86666667 0.83888889 0.83888889 0.86111111 0.85555556 0.84444444
 0.86111111 0.87777778 0.88333333 0.87777778 0.87777778 0.87222222
 0.81111111 0.87777778 0.83888889]"
multiarith,punctuation_30,Mistral-7B-Instruct-v0.3,10,"[0.9        0.90555556 0.90555556 0.9        0.92222222 0.90555556
 0.92777778 0.92777778 0.92777778 0.93333333 0.93333333 0.92222222
 0.91666667 0.92222222 0.92222222 0.92777778]"
multiarith,punctuation_30,Mistral-7B-Instruct-v0.3,15,"[0.93333333 0.93333333 0.92777778 0.92777778 0.93888889 0.93888889
 0.95       0.95       0.94444444 0.93888889 0.94444444]"
multiarith,punctuation_30,Mistral-7B-Instruct-v0.3,20,[0.94444444 0.96111111 0.94444444 0.94444444 0.93888889 0.95      ]
multiarith,punctuation_30,Mistral-7B-Instruct-v0.3,25,[0.95]
gsm,punctuation_30,Qwen3-14B,1,"[0.85367703 0.86504928 0.85595148 0.85670963 0.85898408 0.86580743
 0.87414708 0.85974223 0.86125853 0.85974223 0.85822593 0.85595148
 0.87111448 0.85216073 0.85670963 0.86353298 0.87263078 0.85291888
 0.86125853 0.85974223 0.85974223 0.86353298 0.86429113 0.86050038
 0.86201668]"
gsm,punctuation_30,Qwen3-14B,5,"[0.91281274 0.90750569 0.91357089 0.91357089 0.91508719 0.91660349
 0.91584534 0.91129644 0.91357089 0.90902199 0.91432904 0.91281274
 0.91660349 0.91508719 0.91508719 0.91963609 0.92115239 0.91357089
 0.92266869 0.91887794 0.91811979]"
gsm,punctuation_30,Qwen3-14B,10,"[0.92266869 0.92039424 0.92418499 0.92418499 0.92115239 0.92418499
 0.92494314 0.92191054 0.92645944 0.92191054 0.92191054 0.92418499
 0.92494314 0.92494314 0.92645944 0.92873389]"
gsm,punctuation_30,Qwen3-14B,15,"[0.92418499 0.92191054 0.92494314 0.92494314 0.92418499 0.92645944
 0.92873389 0.92721759 0.92721759 0.92721759 0.92721759]"
gsm,punctuation_30,Qwen3-14B,20,[0.92721759 0.92645944 0.92949204 0.92645944 0.92570129 0.92873389]
gsm,punctuation_30,Qwen3-14B,25,[0.92949204]
math,punctuation_30,Qwen3-14B,1,"[0.47 0.44 0.47 0.49 0.48 0.48 0.45 0.44 0.5  0.48 0.46 0.51 0.46 0.47
 0.5  0.43 0.5  0.52 0.53 0.43 0.47 0.47 0.48 0.46 0.41]"
math,punctuation_30,Qwen3-14B,5,"[0.55 0.56 0.55 0.6  0.59 0.56 0.58 0.59 0.61 0.61 0.57 0.57 0.56 0.61
 0.6  0.58 0.56 0.6  0.59 0.53 0.55]"
math,punctuation_30,Qwen3-14B,10,"[0.63 0.65 0.64 0.64 0.66 0.66 0.63 0.62 0.66 0.66 0.63 0.63 0.62 0.63
 0.65 0.63]"
math,punctuation_30,Qwen3-14B,15,[0.66 0.67 0.65 0.66 0.67 0.67 0.65 0.65 0.67 0.68 0.64]
math,punctuation_30,Qwen3-14B,20,[0.66 0.68 0.66 0.66 0.69 0.7 ]
math,punctuation_30,Qwen3-14B,25,[0.69]
mmlu,punctuation_30,Qwen3-14B,1,"[0.81869688 0.80642115 0.81397545 0.80830973 0.8101983  0.80547686
 0.80358829 0.79225685 0.79981114 0.8177526  0.80830973 0.79603399
 0.80925401 0.8101983  0.80169972 0.80358829 0.80642115 0.81114259
 0.81303116 0.80736544 0.80830973 0.8177526  0.8101983  0.81397545
 0.81114259]"
mmlu,punctuation_30,Qwen3-14B,5,"[0.83474976 0.82436261 0.82247403 0.82908404 0.81586402 0.81680831
 0.82247403 0.8177526  0.81208687 0.82247403 0.82530689 0.81303116
 0.81680831 0.81869688 0.81680831 0.81397545 0.8177526  0.82813975
 0.82719547 0.82341832 0.83380548]"
mmlu,punctuation_30,Qwen3-14B,10,"[0.82625118 0.81964117 0.82530689 0.81397545 0.82625118 0.82152975
 0.81869688 0.81680831 0.81586402 0.82341832 0.81964117 0.8177526
 0.82436261 0.82247403 0.82530689 0.82625118]"
mmlu,punctuation_30,Qwen3-14B,15,"[0.82625118 0.82247403 0.81680831 0.82152975 0.82152975 0.82152975
 0.82247403 0.82058546 0.82152975 0.82247403 0.82530689]"
mmlu,punctuation_30,Qwen3-14B,20,[0.82719547 0.82530689 0.82436261 0.82247403 0.82625118 0.82436261]
mmlu,punctuation_30,Qwen3-14B,25,[0.83002833]
multiarith,punctuation_30,Qwen3-14B,1,"[0.97777778 0.96111111 0.98333333 0.96666667 0.98333333 0.95
 0.97777778 0.97222222 0.97222222 0.96666667 0.96666667 0.97222222
 0.97222222 0.98333333 0.97777778 0.98888889 0.97222222 0.98888889
 0.96666667 0.98333333 0.98333333 0.97777778 0.95       0.98888889
 0.96666667]"
multiarith,punctuation_30,Qwen3-14B,5,"[0.98333333 0.98333333 0.98888889 0.98333333 0.99444444 0.98888889
 0.98888889 0.99444444 0.98888889 0.98333333 0.98333333 0.98888889
 0.99444444 0.98888889 0.99444444 0.99444444 0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444]"
multiarith,punctuation_30,Qwen3-14B,10,"[0.98333333 0.98333333 0.98888889 0.98333333 0.98333333 0.98333333
 0.98888889 0.99444444 0.99444444 0.98888889 0.98888889 0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444]"
multiarith,punctuation_30,Qwen3-14B,15,"[0.98333333 0.98888889 0.98888889 0.98888889 0.99444444 0.99444444
 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444]"
multiarith,punctuation_30,Qwen3-14B,20,[0.98888889 0.99444444 0.99444444 0.99444444 0.99444444 0.99444444]
multiarith,punctuation_30,Qwen3-14B,25,[0.99444444]
gsm,punctuation_30,Qwen3-4B,1,"[0.76724792 0.78089462 0.78089462 0.77028052 0.77331312 0.77937832
 0.78847612 0.77634572 0.78695982 0.78165277 0.76800607 0.77255497
 0.77710387 0.79681577 0.77786202 0.76800607 0.76345716 0.76497346
 0.79150872 0.76800607 0.79984837 0.77862017 0.77179682 0.77331312
 0.77862017]"
gsm,punctuation_30,Qwen3-4B,5,"[0.87187263 0.87187263 0.87566338 0.87035633 0.88172858 0.88324488
 0.87490523 0.86808188 0.86808188 0.86580743 0.86429113 0.87187263
 0.86959818 0.87263078 0.86959818 0.85519333 0.86504928 0.86050038
 0.86125853 0.86353298 0.87187263]"
gsm,punctuation_30,Qwen3-4B,10,"[0.89461713 0.89310083 0.89082638 0.89082638 0.89234268 0.89613343
 0.89310083 0.89385898 0.89158453 0.89006823 0.88551933 0.88476118
 0.88324488 0.88703563 0.88779378 0.89158453]"
gsm,punctuation_30,Qwen3-4B,15,"[0.89613343 0.89689158 0.89689158 0.89613343 0.89764973 0.89689158
 0.89689158 0.89840788 0.89385898 0.89082638 0.88779378]"
gsm,punctuation_30,Qwen3-4B,20,[0.89916603 0.89689158 0.90068234 0.89764973 0.90144049 0.90144049]
gsm,punctuation_30,Qwen3-4B,25,[0.89916603]
math,punctuation_30,Qwen3-4B,1,"[0.45 0.44 0.48 0.49 0.42 0.43 0.46 0.5  0.51 0.46 0.56 0.52 0.51 0.48
 0.44 0.49 0.48 0.46 0.46 0.5  0.46 0.49 0.58 0.52 0.51]"
